 SARS2_A549,SARS2_A549_ACE2,SARS2_Calu3,SASR2_Vero,SARS2_NHBE,IAV_A549,IAV_NHBE,IAV_DNS1_NHBE,RSV_A549,HPIV3_A549,SARS1_MRC5,MERS_MRC5
SARS2_A549,77.51937984,3.100775194,2.325581395,2.739726027,3.100775194,0.775193798,4.651162791,3.100775194,3.875968992,6.976744186,7.751937984,8.527131783
SARS2_A549_ACE2,3.100775194,77.51937984,6.201550388,4.794520548,0.775193798,0.775193798,2.325581395,2.325581395,1.550387597,3.100775194,1.550387597,3.875968992
SARS2_Calu3,2.325581395,6.201550388,77.51937984,54.10958904,3.100775194,0.775193798,8.527131783,20.93023256,10.85271318,7.751937984,2.325581395,10.07751938
SASR2_Vero,2.739726027,4.794520548,54.10958904,68.49315068,3.424657534,2.739726027,6.849315068,17.12328767,6.849315068,5.479452055,3.424657534,6.849315068
SARS2_NHBE,3.100775194,0.775193798,3.100775194,3.424657534,77.51937984,8.527131783,14.72868217,8.527131783,0,2.325581395,5.426356589,5.426356589
IAV_A549,0.775193798,0.775193798,0.775193798,2.739726027,8.527131783,77.51937984,3.875968992,1.550387597,4.651162791,1.550387597,2.325581395,4.651162791
IAV_NHBE,4.651162791,2.325581395,8.527131783,6.849315068,14.72868217,3.875968992,77.51937984,29.45736434,11.62790698,14.72868217,6.976744186,9.302325581
IAV_DNS1_NHBE,3.100775194,2.325581395,20.93023256,17.12328767,8.527131783,1.550387597,29.45736434,77.51937984,13.95348837,13.95348837,3.100775194,10.07751938
RSV_A549,3.875968992,1.550387597,10.85271318,6.849315068,0,4.65116279,11.62790698,13.95348837,77.51937984,14.72868217,4.651162791,7.751937984
HPIV3_A549,6.976744186,3.100775194,7.751937984,5.479452055,2.325581395,1.550387597,14.72868217,13.95348837,14.72868217,77.51937984,2.325581395,6.976744186
SARS1_MRC5,7.751937984,1.550387597,2.325581395,3.424657534,5.426356589,2.325581395,6.976744186,3.100775194,4.651162791,2.325581395,77.51937984,22.48062016
MERS_MRC5,8.527131783,3.875968992,10.07751938,6.849315068,5.426356589,4.651162791,9.302325581,10.07751938,7.751937984,6.976744186,22.48062016,77.51937984
